tag_id;meta_id;id
1;1;1
2;1;2
3;2;3
4;3;4
5;4;5
6;5;6
7;6;7
8;7;8
9;8;9
10;9;10
11;10;11
12;11;12
13;11;13
14;11;14
15;11;15
16;11;16
17;12;17
18;13;18
19;14;19
20;15;20
21;16;21
22;17;22
23;18;23
24;19;24
25;20;25
26;21;26
27;22;27
28;23;28
29;24;29
30;25;30
31;26;31
32;27;32
33;28;33
34;29;34
35;30;35
36;31;36
37;31;37
38;32;38
39;33;39
40;33;40
41;34;41
42;35;42
43;36;43
44;37;44
45;38;45
46;39;46
47;40;47
48;41;48
49;42;49
50;43;50
51;44;51
52;45;52
53;46;53
54;47;54
55;48;55
56;49;56
57;50;57
58;51;58
59;52;59
60;53;60
61;54;61
62;55;62
63;56;63
64;57;64
65;58;65
66;59;66
67;60;67
68;61;68
69;61;69
70;62;70
71;62;71
72;63;72
73;63;73
74;64;74
75;64;75
76;65;76
77;66;77
78;67;78
79;68;79
80;68;80
81;68;81
82;69;82
83;69;83
84;70;84
85;70;85
86;71;86
87;72;87
88;73;88
89;73;89
90;74;90
91;75;91
92;76;92
93;77;93
