descricao;pdm_id;id
Reduzir a pobreza e ampliar o acesso a direitos para a população em situação de vulnerabilidade social da cidade de São Paulo. ;1;1
Garantir à população atendimento integral em saúde, ampliando a cobertura territorial dos serviços e considerando as especificidades do público atendido por gênero e raça.;1;2
Garantir a proteção integral e o pleno desenvolvimento para crianças de 0 a 6 anos de idade.;1;3
Promover o acesso à moradia, à urbanização e à regularização fundiária para famílias de baixa renda.;1;4
Garantir à população idosa o pleno exercício de seus direitos e fortalecer a construção e manutenção de vínculos familiares e comunitários.;1;5
Ampliar o respeito à diversidade e fomentar a igualdade de oportunidades.;1;6
Promover a inclusão e a melhoria na qualidade de vida das pessoas com deficiência.;1;7
Garantir a toda população em idade escolar o acesso inclusivo e equitativo à educação de qualidade, assegurando o pleno desenvolvimento educacional de forma integrada à comunidade.;1;8
Democratizar o acesso a políticas públicas de esporte e lazer, promovendo qualidade de vida e inclusão, por meio da manutenção e ampliação de programas e equipamentos esportivos na cidade.;1;9
Ampliar a capacidade de monitoramento em segurança urbana e a cobertura das ações protetivas destinadas às vítimas de violência na Cidade de São Paulo.;1;10
Ampliar a resiliência da cidade às chuvas, reduzindo as áreas inundáveis e mitigando os prejuízos causados à população.;1;11
Garantir a qualidade e segurança das vias públicas e da infraestrutura viária.;1;12
Ampliar a iluminação pública, com foco na eficiência energética e na intensificação da segurança;1;13
Atingir grau de excelência em segurança viária, com foco na diminuição do número de sinistros e de vítimas fatais no trânsito.;1;14
Estimular a mobilidade ativa de maneira segura para a população, com prioridade para deslocamentos a pé e de bicicleta.;1;15
Garantir o acesso ao Sistema Municipal de Transportes, de forma segura, acessível e sustentável.;1;16
Democratizar o acesso à produção artística e cultural da cidade e valorizar a cultura de periferia.;1;17
"Estimular o nascimento e fortalecimento de iniciativas de economia criativa
e de diversidade cultural e intelectual na cidade.";1;18
Estimular o nascimento e fortalecimento de iniciativas de economia criativa e de diversidade cultural e intelectual na cidade.;1;19
Promover o desenvolvimento econômico, inclusivo e sustentável, o emprego pleno e o trabalho decente para todos.;1;20
Assegurar o acesso à internet como direito fundamental, promover a inclusão digital e a expansão da economia criativa na cidade. ;1;21
Melhorar a saúde e segurança alimentar e nutricional da população paulistana, contribuindo com a sustentabilidade ambiental do Município e apoiando a agricultura urbana e periurbana.;1;22
Proteger, recuperar e aprimorar a qualidade ambiental do Município e promover a utilização sustentável do espaço público.;1;23
Promover a saúde e o bem estar dos animais domésticos.;1;24
Promover a cooperação internacional e posicionar a cidade de São Paulo como capital global da criatividade, cultura e diversidade. Fortalecer o turismo e a sustentabilidade.;1;25
Simplificar, modernizar e democratizar o acesso da população aos serviços públicos municipais. ;1;26
Promover a eficiência na gestão dos recursos públicos e o incremento de recursos para investimento, com foco na melhoria da qualidade da prestação de serviços.;1;27
Promover a transparência e a integridade dos órgãos públicos, por meio do aprimoramento dos mecanismos de governança municipal e combate à corrupção. ;1;28
